exchange,symbol,company
XNSE,TAKSHEEL,Taksheel Solutions Ltd (TAKSHEEL)
XNSE,W1ORBITCORP,Orbit Corporation Ltd. (W1ORBITCORP)
XNSE,KOJAMFIN,Kojam Fininvest Ltd. (KOJAMFIN)
XNSE,N6RECLTD,Rural Electrification Corporation Ltd (N6RECLTD)
XNSE,TELEDATAIT,Teledata Technology Solutions Ltd (TELEDATAIT)
XNSE,MFUFTFGR12PX,UTI Asset Management Company Ltd (MFUFTFGR12PX)
XNSE,W1HDFC,Housing Development Finance Corporation Ltd. (W1HDFC)
XNSE,E2HINDALC0,Hindalco Industries Ltd. (E2HINDALC0)
XNSE,N4RECLTD,Rural Electrification Corporation Ltd (N4RECLTD)
XNSE,NLSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NLSRTRANSFIN)
XNSE,CENTBOP,Centurion Bank of Punjab Ltd. (CENTBOP)
XNSE,N2SRTRANSFIN,Shriram Transport Finance Co. Ltd. (N2SRTRANSFIN)
XNSE,N3IIFLFIN,India Infoline Finance Ltd (N3IIFLFIN)
XNSE,NQSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NQSRTRANSFIN)
XNSE,MFRFHFXX31GP,Reliance Capital Asset Management Ltd (MFRFHFXX31GP)
XNSE,INDORAMTEX,Indo Rama Textiles Ltd. (INDORAMTEX)
XNSE,JDORGOCHEM,J D Orgochem Ltd (JDORGOCHEM)
XNSE,N1TRENT,Trent Ltd. (N1TRENT)
XNSE,Y3SRTRANSFIN,Shriram Transport Finance Co. Ltd. (Y3SRTRANSFIN)
XNSE,MFHSEP24M19G,HDFC Asset Management Company Ltd. (MFHSEP24M19G)
XNSE,W1RJL,Renaissance Jewellery Ltd. (W1RJL)
XNSE,MFIPRU1830,ICICI Prudential Asset Management Company Ltd. (MFIPRU1830)
XNSE,RPL,Reliance Petroleum Ltd. (RPL)
XNSE,N4TCFSL,Tata Capital Financial Services Limited (N4TCFSL)
XNSE,MFBSLCP2G,Birla Sun Life Asset Management Company Ltd (MFBSLCP2G)
XNSE,KRISHNAENG,Krishna Engineering Works Ltd. (KRISHNAENG)
XNSE,MFUFTFGR16P7,UTI Asset Management Company Ltd (MFUFTFGR16P7)
XNSE,N4L_TFINANCE,L&T Finance Limited. (N4L.TFINANCE)
XNSE,W1IBULHSGFIN,Indiabulls Housing Finance Limited (W1IBULHSGFIN)
XNSE,MFFTFTF14BDV,Franklin Templeton Asset Management (India) Private Limited (MFFTFTF14BDV)
XNSE,MFRELDUALGPA,Reliance Capital Asset Management Ltd (MFRELDUALGPA)
XNSE,GLORY,Glory Films Ltd (GLORY)
XNSE,N3HUDCO,Housing & Urban Development Corporation. (N3HUDCO)
XNSE,RPGTLTD,RPG Transmission Ltd. (RPGTLTD)
XNSE,N1COROMANDEL,Coromandel International Ltd (N1COROMANDEL)
XNSE,KFA,Kingfisher Airlines Ltd (KFA)
XNSE,MFIIFLFMPS3G,India Infoline Asset Management Co. Ltd (MFIIFLFMPS3G)
XNSE,N1JNPT,Jawaharlal Nehru Port Trust (N1JNPT)
XNSE,N8RELIFIN,Religare Finvest Limited (N8RELIFIN)
XNSE,ESTL,Essar Steel Ltd. (ESTL)
XNSE,MFJ301G,JP Morgan Asset Management India Pvt Ltd (MFJ301G)
XNSE,E1ABAN,Aban Offshore Ltd. (E1ABAN)
XNSE,W1GREENPLY,Greenply Industries Ltd. (W1GREENPLY)
XNSE,KINETICMOT,Kinetic Motor Co. Ltd. (KINETICMOT)
XNSE,IIFLNIFTY,India Infoline Asset Management Co. Ltd (IIFLNIFTY)
XNSE,BSLNIFTY,Birla Sun Life Asset Management Company Ltd (BSLNIFTY)
XNSE,SMZSCHEM,SMZS Chemicals Ltd. (SMZSCHEM)
XNSE,NRC,NRC Ltd. (NRC)
XNSE,BELLCERATL,Bell Ceramics Ltd. (BELLCERATL)
XNSE,COLORCHIPS,Sphere Global Services Ltd (COLORCHIPS)
XNSE,W1JYOTISTRUC,Jyoti Structures Ltd. (W1JYOTISTRUC)
XNSE,N1SHRIRAMCIT,Shriram City Union Finance Ltd. (N1SHRIRAMCIT)
XNSE,ABHISHEK,Abhishek Corporation Ltd (ABHISHEK)
XNSE,N1ICIBK1107,ICICI Bank Ltd. (N1ICIBK1107)
XNSE,N6IDFC,IDFC Ltd (N6IDFC)
XNSE,N3TCFSL,Tata Capital Financial Services Limited (N3TCFSL)
XNSE,N9IIFLFIN,India Infoline Finance Ltd (N9IIFLFIN)
XNSE,N5NHBTF2014,National Housing Bank (N5NHBTF2014)
XNSE,MFIDFCD1238,IDFC Asset Management Company Limited (MFIDFCD1238)
XNSE,Y6SRTRANSFIN,Shriram Transport Finance Co. Ltd. (Y6SRTRANSFIN)
XNSE,E1IBN18,TV18 Broadcast Ltd (E1IBN18)
XNSE,N1L_TFINANCE,L&T Finance Limited. (N1L.TFINANCE)
XNSE,FKONCO,Fresenius Kabi Oncology Ltd (FKONCO)
XNSE,W1BAJAUTOFIN,Bajaj Finance Ltd (W1BAJAUTOFIN)
XNSE,MFJ502G,JP Morgan Asset Management India Pvt Ltd (MFJ502G)
XNSE,NBIIFLFIN,India Infoline Finance Ltd (NBIIFLFIN)
XNSE,SAYAJIHOTL,Sayaji Hotels Ltd. (SAYAJIHOTL)
XNSE,MFRFHFXX33GP,Reliance Capital Asset Management Ltd (MFRFHFXX33GP)
XNSE,VISUALSOFT,Visualsoft Technologies Ltd. (VISUALSOFT)
XNSE,N7MUTHOOTFIN,Muthoot Finance Ltd. (N7MUTHOOTFIN)
XNSE,N1DRREDDY,Dr. Reddy`s Laboratories Ltd. (N1DRREDDY)
XNSE,N2NHAI,National Highways Authority of India (N2NHAI)
XNSE,N1SBIN,State Bank of India (N1SBIN)
XNSE,N4SRTRANSFIN,Shriram Transport Finance Co. Ltd. (N4SRTRANSFIN)
XNSE,MFRDAFTIIPAG,Reliance Capital Asset Management Ltd (MFRDAFTIIPAG)
XNSE,N1TATACOFFEE,Tata Coffee Ltd. (N1TATACOFFEE)
XNSE,MFFTFTF13AGR,Franklin Templeton Asset Management (India) Private Limited (MFFTFTF13AGR)
XNSE,N3IDFC,IDFC Ltd (N3IDFC)
XNSE,N5IDFC,IDFC Ltd (N5IDFC)
XNSE,JAYPEEHOT,Jaypee Hotels Ltd. (JAYPEEHOT)
XNSE,N8SREINFRA,SREI Infrastructure Finance Ltd. (N8SREINFRA)
XNSE,NNSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NNSRTRANSFIN)
XNSE,CINEMAXIN,Cinemax India Ltd (CINEMAXIN)
XNSE,NHSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NHSRTRANSFIN)
XNSE,MFDWSFMP71RG,Deutsche Asset Management (India) Pvt Ltd (MFDWSFMP71RG)
XNSE,STEELTUBES,Steel Tubes of India Ltd. (STEELTUBES)
XNSE,NRSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NRSRTRANSFIN)
XNSE,MFDWSHYD7GR,Deutsche Asset Management (India) Pvt Ltd (MFDWSHYD7GR)
XNSE,BLOWPLAST,Blow Plast Ltd. (BLOWPLAST)
XNSE,OSWALMIN,Oswal Minerals Ltd (OSWALMIN)
XNSE,WELENTRP,Welspun Enterprises Ltd (WELENTRP)
XNSE,MFFTFTF13ADV,Franklin Templeton Asset Management (India) Private Limited (MFFTFTF13ADV)
XNSE,NOSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NOSRTRANSFIN)
XNSE,N4NTPC,NTPC Ltd. (N4NTPC)
XNSE,W1INDIABULLS,Indiabulls Financial Services (W1INDIABULLS)
XNSE,NDSHRIRAMCIT,Shriram City Union Finance Ltd. (NDSHRIRAMCIT)
XNSE,N6RELIFIN,Religare Finvest Limited (N6RELIFIN)
XNSE,D1TINPLATE,Tinplate Company of India Ltd. (D1TINPLATE)
XNSE,NFSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NFSRTRANSFIN)
XNSE,Y4SRTRANSFIN,Shriram Transport Finance Co. Ltd. (Y4SRTRANSFIN)
XNSE,NASRTRANSFIN,Shriram Transport Finance Co. Ltd. (NASRTRANSFIN)
XNSE,VISHALEXPO,Vishal Exports Overseas Ltd. (VISHALEXPO)
XNSE,N2L_TFINANCE,L&T Finance Limited. (N2L.TFINANCE)
XNSE,N5SHRIRAMCIT,Shriram City Union Finance Ltd. (N5SHRIRAMCIT)
XNSE,N1IIFLFIN,India Infoline Finance Ltd (N1IIFLFIN)
XNSE,VARUNSHIP,Varun Shipping Co. Ltd.
XNSE,N2SBIN,State Bank of India (N2SBIN)
XNSE,FIRSTLEASE,First Leasing Co. of India Ltd.
XNSE,COMPUAGE,Compuage Infocom Ltd
XNSE,PARAL,Parekh Aluminex Ltd.
XNSE,AMARJOTHI,Amarjothi Spinning Mills Ltd.
XNSE,ASHCONIUL,Ashco Niulab Industries Ltd
XNSE,TWILITAKA,Twilight Litaka Pharmaceuticals Ltd.
XNSE,APLAB,Aplab Ltd.
XNSE,ZENITHINFO,Zenith Infotech Ltd.
XNSE,UTVSOF,UTV Software Communications Ltd.
XNSE,NOL,National Oxygen Ltd.
XNSE,ANKURDRUGS,Ankur Drugs & Pharma Ltd.
XNSE,MFFTFTF15GR,Franklin Templeton Asset Management (India) Private Limited (MFFTFTF15GR)
XNSE,MFIIFLFMPS1G,India Infoline Asset Management Co. Ltd (MFIIFLFMPS1G)
XNSE,PUNJABTRAC,Punjab Tractors Ltd. (PUNJABTRAC)
XNSE,SAPL,South Asian Petrochem Ltd
XNSE,PHILCORP,Kore Foods Ltd. (PHILCORP)
XNSE,N4RELIFIN,Religare Finvest Limited (N4RELIFIN)
XNSE,SABERORGAN,Sabero Organics Gujarat Ltd.
XNSE,N2RELIFIN,Religare Finvest Limited (N2RELIFIN)
XNSE,MFIPRU1772,ICICI Prudential Asset Management Company Ltd. (MFIPRU1772)
XNSE,MICRO,Micro Inks Ltd.
XNSE,MFUFTFGR15PX,UTI Asset Management Company Ltd (MFUFTFGR15PX)
XNSE,PSTL,Pyramid Saimira Theatre Ltd. (PSTL)
XNSE,W1OUDHSUG,Oudh Sugar Mills Ltd. (W1OUDHSUG)
XNSE,N6SRTRANSFIN,Shriram Transport Finance Co. Ltd. (N6SRTRANSFIN)
XNSE,N1MUTHOOTFIN,Muthoot Finance Ltd. (N1MUTHOOTFIN)
XNSE,NBSHRIRAMCIT,Shriram City Union Finance Ltd. (NBSHRIRAMCIT)
XNSE,ITMRO,M.R. Organisation Ltd (ITMRO)
XNSE,E1TV_18,Television Eighteen India Ltd. (E1TV.18)
XNSE,MATRIXLABS,Matrix Laboratories Ltd. (MATRIXLABS)
XNSE,MFRFHFXXI18G,Reliance Capital Asset Management Ltd (MFRFHFXXI18G)
XNSE,RBN,Reliance Broadcast Network Ltd (RBN)
XNSE,NWSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NWSRTRANSFIN)
XNSE,N1RELIFIN,Religare Finvest Limited (N1RELIFIN)
XNSE,VATSMUSC,Lila World Wide Ltd (VATSMUSC)
XNSE,NESRTRANSFIN,Shriram Transport Finance Co. Ltd. (NESRTRANSFIN)
XNSE,NAMUTHOOTFIN,Muthoot Finance Ltd. (NAMUTHOOTFIN)
XNSE,N1BRITANNIA,Britannia Industries Ltd. (N1BRITANNIA)
XNSE,W1TATAINVEST,Tata Investment Corporation Ltd. (W1TATAINVEST)
XNSE,W1SADBHAV,Sadbhav Engineering Ltd. (W1SADBHAV)
XNSE,DRSTAN,Standard Chartered plc
XNSE,KSE,KSE Ltd.
XNSE,TANFACIND,TANFAC Industries Ltd.
XNSE,SALONACOT,Salona Cotspin Ltd.
XNSE,E2CUB,City Union Bank Ltd.
XNSE,DRDATSONS,Dr. Datsons Labs Ltd
XNSE,KLRF,KLRF Ltd
XNSE,ITKAWIRES,K A Wires Ltd. (ITKAWIRES)
XNSE,KTKNV20ETF,Kotak Mahindra Asset Management Company Ltd (KTKNV20ETF)
XNSE,VIKASGLOB,Vikas EcoTech Ltd. (VIKASGLOB)
XNSE,SBBJ,State Bank of Bikaner & Jaipur Ltd. (SBBJ)
XNSE,SBT_UADJ,State Bank of Travancore (SBT) Unadjusted Stock Prices
XNSE,SBT,State Bank of Travancore (SBT)
XNSE,SBBJ_UADJ,State Bank of Bikaner & Jaipur Ltd. (SBBJ) Unadjusted Stock Prices
XNSE,MYSOREBANK_UADJ,State Bank of Mysore (MYSOREBANK) Unadjusted Stock Prices
XNSE,MYSOREBANK,State Bank of Mysore (MYSOREBANK)
XNSE,PFRL,Aditya Birla Fashion & Retail Ltd. (PFRL)
XNSE,MFVF1RD_UADJ,Sundaram Asset Management Company Limited (MFVF1RD) Unadjusted Stock Prices
XNSE,ITKAWIRES_UADJ,K A Wires Ltd. (ITKAWIRES) Unadjusted Stock Prices
XNSE,ENERGYDEV,Energy Development Co. Ltd. (ENERGYDEV)
XNSE,CYBERMEDIA,Cyber Media (India) Ltd. (CYBERMEDIA)
XNSE,BHARTIARTL_UADJ,Bharti Airtel Ltd. (BHARTIARTL) Unadjusted Stock Prices
XNSE,AMTL,Advance Metering Technology Ltd (AMTL)
XNSE,MFBSLFEFS2RG,Birla Sun Life Asset Management Company Ltd (MFBSLFEFS2RG)
XNSE,TRICOM_UADJ,Tricom India Ltd (TRICOM) Unadjusted Stock Prices
XNSE,REISIXTEN_UADJ,REI Six Ten Retail Ltd (REISIXTEN) Unadjusted Stock Prices
XNSE,SQSBFSI_UADJ,SQS India BFSI Ltd (SQSBFSI) Unadjusted Stock Prices
XNSE,ALOKTEXT_UADJ,Alok Industries Ltd. (ALOKTEXT) Unadjusted Stock Prices
XNSE,ARIES_UADJ,Aries Agro Ltd. (ARIES) Unadjusted Stock Prices
XNSE,SGJHL,Shree Ganesh Jewellery House (I) Ltd. (SGJHL)
XNSE,IGPL_UADJ,I G Petrochemicals Ltd. (IGPL) Unadjusted Stock Prices
XNSE,SFCL,Star Ferro & Cement Ltd. (SFCL)
XNSE,RCF_UADJ,Rashtriya Chemicals & Fertilizers Ltd. (RCF) Unadjusted Stock Prices
XNSE,SYMPHONY_UADJ,Symphony Ltd. (SYMPHONY) Unadjusted Stock Prices
XNSE,PREMIERPOL_UADJ,Premier Polyfilm Ltd. (PREMIERPOL) Unadjusted Stock Prices
XNSE,NIITTECH_UADJ,NIIT Technologies Ltd. (NIITTECH) Unadjusted Stock Prices
XNSE,MTNL,Mahanagar Telephone Nigam Ltd. (MTNL)
XNSE,JISLJALEQS,Jain Irrigation Systems Ltd. (JISLJALEQS)
XNSE,FELDVR_UADJ,Future Enterprises Ltd. (FELDVR) Unadjusted Stock Prices
XNSE,DAAWAT,LT Foods Ltd. (DAAWAT)
XNSE,COALINDIA,Coal India Limited (COALINDIA)
XNSE,BAJFINANCE_UADJ,Bajaj Finance Ltd (BAJFINANCE) Unadjusted Stock Prices
XNSE,Q1UPL,UPL Ltd (Q1UPL)
